 u= pow(x,4) + pow(y,4)
 iter=26
 node 	 xcoord 	 ycoord 	 u 	u* - u
0	  0	  0	  0	  0
1	  1	  1	  1	  0
2	  2	  2	  16	  0
3	  3	  3	  0	  0
4	  4	  4	  256	  0
5	  5	  0	  625	  0
6	  6	  1	  1296	  0
7	  0	  2	  1	  0
8	  1	  3	  8.9999998509883880615	  6.9999998509883880615
9	  2	  4	  18	  1
10	  3	  0	  0	  0
11	  4	  1	  257	  0
12	  5	  2	  438.41269841269843255	  -187.58730158730156745
13	  6	  3	  1453.25	  156.25
14	  0	  4	  16	  0
15	  1	  0	  27.37486479852012522	  10.37486479852012522
16	  2	  1	  40.999999105930328369	  8.9999991059303283691
17	  3	  2	  97	  0
18	  4	  3	  272	  0
19	  5	  4	  429.16906021667927007	  -211.83093978332072993
20	  6	  0	  1421.6031746031746934	  109.6031746031746934
21	  0	  1	  81	  0
22	  1	  2	  86.374864947531733606	  4.3748649475317336055
23	  2	  3	  112.49946013313243043	  15.499460133132430428
24	  3	  4	  155.24812886835167092	  -6.751871131648329083
25	  4	  0	  171.49305651820523622	  -165.50694348179476378
26	  5	  1	  342.16855255559624993	  -363.83144744440375007
27	  6	  2	  1484.2922650541697749	  107.29226505416977488
28	  0	  3	  256	  0
29	  1	  4	  257	  0
30	  2	  0	  272	  0
31	  3	  1	  337	  0
32	  4	  2	  512	  0
33	  5	  3	  881	  0
34	  6	  4	  1552	  0
